Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Minions Agnes Jequitifor women,Jequiti,for women,"Strawberry, Raspberry and Orange","Peach, Apple Blossom and Freesia","Musk, Sandalwood and Amber","['fruity', 'sweet', 'floral', 'powdery', 'musky']",All Season,Night
Mist Jequitifor men,Jequiti,for men,Bergamot and Mandarin Orange,Coffee and Violet,"Tonka Bean, Patchouli and Cedar","['citrus', 'woody', 'warm spicy', 'coffee', 'patchouli', 'vanilla', 'aromatic', 'amber', 'fresh spicy', 'powdery']",Winter,Any
Mist Element Jequitifor men,Jequiti,for men,"Apple, Bergamot, Clary Sage, Sicilian Lemon and Black Pepper","Violet, Jasmine, Lily-of-the-Valley, Geranium and Orange Blossom","Sandalwood, Amber, Tonka Bean, Musk, Patchouli and Cedar","['woody', 'powdery', 'aromatic', 'white floral', 'violet', 'fresh', 'fruity', 'citrus', 'warm spicy', 'fresh spicy']",Spring,Any
Mist Infinito Jequitifor men,Jequiti,for men,"Lemon, Mandarin Orange, Cardamom and Fennel","Spicy Notes, Lily-of-the-Valley and Cedar","Amber, Tonka Bean, Sandalwood and Musk","['citrus', 'amber', 'warm spicy', 'aromatic', 'fresh', 'soft spicy']",All Season,Any
Monster Cleo de Nile Jequitifor women,Jequiti,for women,Pear and Mandarin Orange,Osmanthus,Woody Notes,"['fruity', 'floral', 'aquatic', 'sweet', 'fresh']",Summer,Day
Monster High Clawdeen Jequitifor women,Jequiti,for women,"Apple Blossom, Pear and Watery Notes",Plum and Cassis,Musk and Amber,"['fruity', 'sweet', 'musky', 'aquatic', 'fresh', 'powdery', 'amber']",Summer,Night
Monster High Draculaura Jequitifor women,Jequiti,for women,"Guarana, Red Apple and Fruity Notes",Honeysuckle and Pink Freesia,"Vanilla Flower, White Musk and Sandalowood","['fruity', 'vanilla', 'sweet']",Winter,Night
Monster High Frankie Stein Jequitifor women,Jequiti,for women,"Peach, Pineapple and Mandarin Orange","Watery Notes, Jasmine and Floral Notes",Musk and Sandalowood,"['fruity', 'sweet', 'aquatic', 'fresh', 'white floral', 'powdery', 'citrus', 'tropical', 'floral']",Summer,Day
Monster High Skullette Jequitifor women,Jequiti,for women,Cherry and Mandarin Orange,"Rose Petals, Black Rose and Freesia","Amber, Tonka Bean and Sandalowood","['cherry', 'rose', 'amber', 'sweet', 'citrus', 'vanilla', 'floral', 'woody', 'fruity', 'nutty']",All Season,Night
Mustang Jequitifor men,Jequiti,for men,"Lemon, Violet and Bamboo","Geranium, Apple and Lavender","Sandalwood, Tonka Bean, Cedar, Musk, Amber and Cashmeran","['woody', 'aromatic', 'fresh spicy', 'powdery', 'citrus', 'amber', 'warm spicy', 'musky', 'rose', 'fresh']",Spring,Any
Oro Jequitifor women,Jequiti,for women,"Pomegranate, Black Currant, Plum, Cassis and Apricot","Gardenia, Orchid, Violet and Jasmine","Amber, Musk, Sandalwood and Patchouli","['fruity', 'woody', 'white floral', 'powdery', 'amber', 'sweet', 'floral', 'lactonic', 'soft spicy', 'animalic']",Spring,Night
Oro Blanc Jequitifor women,Jequiti,for women,"Cassis, Pear and Freesia","Neroli, Cinnamon, Rose and Osmanthus",Vanilla and Amber,"['floral', 'fruity', 'soft spicy', 'fresh', 'vanilla', 'rose', 'cinnamon', 'amber', 'green', 'aromatic']",All Season,Any
Oro Rosé Jequitifor women,Jequiti,for women,Black Pepper and Mandarin Orange,"Rose, Raspberry, Iris and Osmanthus","Amber, Tonka Bean, Sandalwood and Musk","['rose', 'amber', 'fresh spicy', 'fruity', 'citrus', 'powdery', 'sweet', 'warm spicy', 'floral', 'woody']",Spring,Night
Madame La Rose Jequitifor women,Jequiti,for women,"Passionfruit, Pear and Mandarin Orange","Rose, Pink Pepper, Tuberose and Jasmine","Caramel, Vanilla, Sandalwood and Musk","['sweet', 'rose', 'caramel', 'fruity', 'powdery', 'vanilla', 'tropical', 'musky', 'woody', 'soft spicy']",Winter,Night
Paris 1 Jequitifor women,Jequiti,for women,"Bergamot, Litchi and Pink Pepper","Camellia, Freesia, Magnolia and Jasmine","Cedar, Musk, Cashmeran and Amber","['floral', 'citrus', 'powdery', 'woody', 'musky', 'fresh spicy', 'soft spicy', 'aromatic', 'lactonic']",All Season,Any
Paris 2 Jequitifor women,Jequiti,for women,"Lemon, Red Apple, Passionfruit and Cherry","Freesia, Lily-of-the-Valley, Violet and Rose","Musk, Cedar, Amber and Sandalwood","['floral', 'fresh', 'white floral', 'powdery', 'musky', 'woody', 'citrus', 'rose', 'fruity', 'sweet']",Spring,Night
Paris 3 Jequitifor women,Jequiti,for women,"Bergamot, Red Fruits, Lemon Verbena and Apple","Gardenia, Rose, Violet and Water Lily","Patchouli, Guaiac Wood, Sandalwood and Musk","['woody', 'white floral', 'rose', 'powdery', 'citrus', 'floral', 'fruity', 'violet', 'patchouli', 'fresh']",Spring,Day
Paris 4 Jequitifor women,Jequiti,for women,"Pear, Apple and Green Leaves","Lily-of-the-Valley, Violet and Magnolia","Musk, Peach and Sandalwood","['fruity', 'green', 'fresh', 'white floral', 'powdery', 'floral', 'musky', 'sweet', 'aquatic', 'violet']",Spring,Day
Paris 5 Jequitifor women,Jequiti,for women,"Blackberry, Raspberry and Mandarin Orange","Rose, Jasmine and Lily-of-the-Valley","Tonka Bean, Amber and Cedar","['fruity', 'rose', 'sweet', 'white floral', 'citrus', 'amber', 'floral', 'vanilla']",Spring,Night
Patricia Abravanel Jequitifor women,Jequiti,for women,"Black Currant, Orange Blossom, Spices, Mandarin Orange and Grapefruit","Honey, Praline, Amber, Jasmine, Lily-of-the-Valley, Freesia and Rose","Patchouli, Vanilla, Malt, Musk and Cedar","['sweet', 'white floral', 'floral', 'honey', 'woody', 'citrus', 'amber', 'warm spicy', 'patchouli', 'fruity']",Winter,Night
Patricia Abravanel Edição Especial Jequitifor women,Jequiti,for women,"Bergamot, Apple and Fig","Rose, Orchid and Peach Blossom","Patchouli, Musk and Chocolate","['rose', 'floral', 'fruity', 'citrus', 'patchouli', 'woody', 'warm spicy', 'sweet', 'fresh spicy', 'fresh']",Spring,Any
Patricia Abravanel Essence Jequitifor women,Jequiti,for women,"Raspberry, Apple and Pepper","Violet, Gardenia and Orange Blossom","Vanilla, Sandalwood and Vetiver","['fruity', 'vanilla', 'sweet', 'powdery', 'woody', 'white floral', 'violet', 'aromatic', 'warm spicy', 'balsamic']",All Season,Night
Patricia Abravanel Eterno Jequitifor women,Jequiti,for women,"Pink Pepper, White Flowers, Raspberry and Bergamot","Violet, Cinnamon, Jasmine and Sandalowood","Vanilla, Amber and Musk","['powdery', 'white floral', 'vanilla', 'violet', 'cinnamon', 'warm spicy', 'sweet', 'soft spicy', 'musky', 'woody']",Winter,Night
Patricia Abravanel Florale Jequitifor women,Jequiti,for women,Bergamot and Mandarin Orange,"Lily-of-the-Valley, Jasmine and Violet",Vanilla and Sandalwood,"['white floral', 'fresh', 'powdery', 'violet', 'floral', 'vanilla', 'citrus', 'green']",Spring,Day
Patricia Abravanel Intenso Jequitifor women,Jequiti,for women,"Pear, Peach and Sicilian Bergamot","Iris, Cacao, Tuberose and Jasmine","Sandalowood, Vanilla, Amber, Musk and Almond","['powdery', 'fruity', 'woody', 'sweet', 'vanilla', 'iris', 'citrus', 'musky', 'amber', 'warm spicy']",Winter,Night
Patricia Abravanel Joy Jequitifor women,Jequiti,for women,"Raspberry, Litchi and Bergamot","Gardenia, Lily and Orange Blossom","Vanilla, Cedar and Praline","['fruity', 'sweet', 'white floral', 'vanilla', 'woody', 'lactonic', 'tropical', 'powdery']",Spring,Night
Patricia Abravanel Paixão Jequitifor women,Jequiti,for women,"Sour Cherry, Neroli and Grapefruit",Orange Blossom and Lily,"Cacao, Sandalwood, Musk and Cedar","['white floral', 'citrus', 'sweet', 'cherry', 'cacao', 'warm spicy', 'woody', 'nutty', 'powdery', 'almond']",Spring,Night
Paula Fernades Romance Jequitifor women,Jequiti,for women,"Blackberry, Mint, Passionfruit and Mandarin Orange","Peony, Rose, Violet and Jasmine","Tonka Bean, Sandalwood, Amber and Musk","['fruity', 'sweet', 'green', 'aromatic', 'rose', 'floral', 'fresh', 'powdery', 'woody', 'violet']",Spring,Night
Paula Fernandes Jequitifor women,Jequiti,for women,"Pear, Orange Blossom, Ginger and Apple","Brazilian Orange, Frangipani, Jasmine Sambac and Tuberose","Vanilla, Sandalwood, Cashmeran, Amber and Musk","['citrus', 'white floral', 'fruity', 'sweet', 'floral', 'fresh', 'woody', 'warm spicy', 'vanilla', 'powdery']",All Season,Night
Paula Fernandes Sensações Jequitifor women,Jequiti,for women,"Red Berries, Magnolia and Bergamot","Damask Rose, Iris Flower and Peony","Musk, Sandalwood, Vanilla and Amber","['fruity', 'floral', 'sweet', 'fresh', 'citrus', 'powdery', 'sour', 'rose', 'woody', 'musky']",Spring,Night
As Aventuras de Poliana Jequitifor women,Jequiti,for women,"Cassis, Grapefruit and Melon",Red Fruits and Rose,"Sweet Notes, Musk and Sandalwood","['fruity', 'sweet', 'woody', 'citrus', 'fresh', 'aromatic', 'musky', 'powdery', 'rose', 'ozonic']",Summer,Any
As Aventuras de Poliana Festa Jequitifor women,Jequiti,for women,"Mandarin Orange, Apple and Melon","Raspberry, Chocolate Flower and Almond","Vanilla, Musk and Amber","['fruity', 'sweet', 'vanilla', 'almond', 'musky', 'citrus', 'amber', 'powdery', 'fresh', 'floral']",Summer,Night
Poliana Moça Jequitifor women,Jequiti,for women,"Red Fruits, Anise and Bergamot","Violet, Lily-of-the-Valley and Orange Blossom","Musk, Caramel and Amber","['musky', 'powdery', 'sweet', 'anis', 'violet', 'caramel', 'fruity', 'soft spicy', 'fresh', 'white floral']",Spring,Night
